Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
62,Country,Switzerland,530,24/02/2008,"""Against noisy fighter jets in tourist areas""",Volksinitiative vom 03.11.2005 'Gegen Kampfjetlärm in Tourismusgebieten',Initiative populaire «Contre le bruit des avions de combat à réaction dans les zones touristiques»,Iniziativa popolare del 03.11.2005 'Contro il rumore dei velivoli da combattimento nelle regioni turistiche',,,,,,58,119,11,3,31,7,Rejection,4957889,113296,1920885,31488,6218,601071,1282108,0,23,none,,,0,,0,Initiative (Formulated Draft),113049,,Helvetia NostraHelvetia NostraHelvetia Nostra,,Noise protection | Tourism | Army,38.74,1883179,31.92,68.08,no,
63,Country,Switzerland,531,24/02/2008,Improvement of fiscal conditions concerning business and investment activities (Law on the taxation of private enterprises),Bundesgesetz vom 23.03.2007 über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen (Unternehmenssteuerreformgesetz II),Loi fédérale sur l'amélioration des conditions fiscales applicables aux activités entrepreneuriales et aux investissements (loi sur la réforme de l'imposition des entreprises II),Legge federale del 23.03.2007 sul miglioramento delle condizioni quadro fiscali per le attività e gli investimenti imprenditoriali (legge sulla riforma II dell'imposizione delle imprese),,,,,,120,72,1,33,8,2,Acceptance,4957889,113296,1914955,50743,6478,938744,918990,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),57526,,,,Tax policy | Direct taxation | none,38.62,1857734,50.53,49.47,yes,
64,Country,Switzerland,529,17/06/2007,Disability insurance law,Änderung vom 6.10.2006 des Bundesgesetzes über die Invalidenversicherung (IVG),Modification de la loi fédérale sur l'assurance-invalidité (LAI),Modifica del 6.10.2006 della legge federale sull'assicurazione per l'invalidità (LAI),,,,,,118,63,3,35,7,7,Acceptance,4929272,110456,1784498,19618,5970,1039282,719628,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),66505,,,,Disability insurance | none | none,36.2,1758910,59.09,40.91,yes,
65,Country,Switzerland,528,11/03/2007,"""For a fair and single health insurance company""",Volksinitiative vom 09.12.2004 'Für eine soziale Einheitskrankenkasse',Initiative populaire «Pour une caisse maladie unique et sociale»,Iniziativa popolare del 09.12.2004 'Per una cassa malati unica e sociale',,,,,,67,122,2,6,34,2,Rejection,4914140,108505,2257903,16993,8780,641917,1590213,2,21,none,,,0,,0,Initiative (Formulated Draft),111154,,Mouvement Populaire des FamillesMouvement Populaire des FamillesMouvement Populaire des Familles,,Health and accident insurance | none | none,45.95,2232130,28.76,71.24,no,
66,Country,Switzerland,526,26/11/2006,Cooperation with the countries of Eastern Europe,Bundesgesetz vom 24.03.2006 über die Zusammenarbeit mit den Staaten Osteuropas,Loi fédérale sur la coopération avec les Etats d'Europe de l'Est,Legge federale del 24.03.2006 sulla cooperazione con gli Stati dell'Europa dell'Est,,,,,,127,53,14,37,1,6,Acceptance,4902446,107571,2205269,28926,7659,1158494,1010190,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),82644,,,,EU | none | none,44.98,2168684,53.42,46.58,yes,
67,Country,Switzerland,527,26/11/2006,Law on family allowances,Bundesgesetz vom 24.03.2006 über die Familienzulagen (Familienzulagengesetz  FamZG),Loi fédérale sur les allocations familiales (loi sur les allocations familiales LAFam),Legge federale del 24.03.2006 sugli assegni familiari (legge sugli assegni familiari LAFam),,,,,,106,85,2,23,21,0,Acceptance,4902446,107571,2206479,20850,7418,1480796,697415,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),54980,,,,Family policy | none | none,45.01,2178211,67.98,32.02,yes,
68,Country,Switzerland,523,24/09/2006,"""Surplus from the National Bank for the old age-, widows- and orphans insurance fund""",Volksinitiative vom 09.10.2002 'Nationalbankgewinne für die AHV',Initiative populaire «Bénéfices de la Banque nationale pour l'AVS»,Iniziativa popolare del 09.10.2002 'Utili della Banca nazionale per l'AVS',,,,,,62,124,0,7,36,2,Rejection,4893927,108018,2385591,43402,8844,973831,1359514,2.5,20.5,none,,,,,,Initiative (Formulated Draft),116023,,Komitee sichere AHV Comité pour la sécurité AVS (COSA) Comité pour la sécurité AVS (COSA),,Pension insurance | Monetary policy | none,48.75,2333345,41.74,58.26,no,
69,Country,Switzerland,524,24/09/2006,Law on foreigners,Bundesgesetz vom 16.12.2005 über die Ausländerinnen und Ausländer (AuG),Loi fédérale sur les étrangers (LEtr),Legge federale del 16.12.2005 sugli stranieri (LStr),,,,,,106,66,10,33,8,4,Acceptance,4893927,108018,2393496,27528,8715,1602134,755119,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),73800,,,,Immigration policy | none | none,48.91,2357253,67.97,32.03,yes,
70,Country,Switzerland,525,24/09/2006,Law on asylum,Aenderung vom 16.12.2005 des Asylgesetzes (AsylG),Modification de la loi sur l'asile (LAsi),Modifica del 16.12.2005 della legge sull'asilo (LAsi),,,,,,108,69,12,33,12,0,Acceptance,4893927,108018,2393806,26033,8587,1598399,760787,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),90652,,,,Refugees | none | none,48.91,2359186,67.75,32.25,yes,
71,Country,Switzerland,522,21/05/2006,Reform of constitutional articles on education,Bundesbeschluss vom 16.12.2005 über die Neuordnung der Verfassungsbestimmungen zur Bildung,Arrêté fédéral modifiant les articles de la Constitution sur la formation,Decreto federale del 16.12.2005 sul nuovo ordinamento delle disposizioni costituzionali nel settore della formazione,,,,,,176,3,7,44,1,0,Acceptance,4877897,104158,1356059,21941,5002,1137450,191666,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Education policy | Schools | Universities,27.8,1329116,85.58,14.42,yes,
72,Country,Switzerland,520,27/11/2005,"""For food grown without genetic modification""",Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,L'initiative populaire «Pour des aliments produits sans manipulations génétiques»,Decreto federale concernente l’iniziativa popolare «per alimenti prodotti senza manipolazioni genetiche»,,,,,,92,92,4,10,35,1,Rejection,4860166,102036,2052913,23046,7550,1125835,896482,23,0,none,,,,,,Initiative (Formulated Draft),120824,,Volksinitiative 'für Lebensmittel aus gentechnikfreier Landwirtschaft' Initiative populaire 'pour des aliments produits sans manipulations génétiques' Iniziativa popolare 'per alimenti prodotti senza manipolazioni genetiche',With a decisive ballot by its President  the National Council rejected the initiative.,Agricultural policy | Genetic engineering | Environmental policy,42.24,2022317,55.67,44.33,yes,
73,Country,Switzerland,521,27/11/2005,"Law on employment in industry, trade and commerce (Labour law)",Bundesgesetz über die Arbeit in Industrie  Gewerbe und Handel (Arbeitsgesetz),Loi fédérale sur le travail dans l'industrie l'artisanat et le commerce (Loi sur le travail),"Legge federale sul lavoro nell’industria, nell’artigianato e nel commercio (Legge sul lavoro)",,,,,,109,65,5,30,10,2,Acceptance,4860166,102036,2056271,18281,7257,1026833,1003900,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),81744,,,,Employment conditions | none | none,42.31,2030733,50.56,49.44,yes,
74,Country,Switzerland,519,25/09/2005,Extension of free movement of people accord to the new EU member and approval of the revision of the accompanying measures,Bundesbeschluss über die Genehmigung und Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf die neuen EG-Mitgliedstaaten zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft und ihren Mitgliedstaaten andererseits sowie über die Genehmigung der Revision der flankierenden Massnahmen zur Personenfreizügigkeit,Arrêté fédéral portant approbation et mise en oeuvre du protocole relatif à l'extension de l'accord entre la Confédération suisse d'une part et la Communauté européenne et ses Etats membres d'autre part sur la libre circulation des personnes aux nouveaux Etats membres de la Communauté européenne et portant approbation de la révision des mesures d'accompagnement concernant la libre circulation des personnes,"Decreto federale che approva e traspone nel diritto svizzero, mediante revisione delle misure collaterali, il Protocollo concluso con la Comunità europea e i suoi Stati membri relativo all’estensione dell’Accordo sulla libera circolazione delle persone ai nuovi Stati membri della Comunità europea",,,,,,142,40,8,40,0,2,Acceptance,4852658,100757,2634131,18569,9736,1458686,1147140,,,none,,,,,,Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes),92901,,,,EU | Employment conditions | none,54.28,2605826,55.98,44.02,yes,
75,Country,Switzerland,517,05/06/2005,Bilateral agreements between Switzerland and the EU on the Schengen and Dublin accords,Bundesbeschluss vom 17.12.2004 über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und an Dublin,Arrêté fédéral portant approbation et mise en oeuvre des accords bilatéraux d'association à l'Espace Schengen et à l'Espace Dublin,Decreto federale del 17.12.2004 che approva e traspone nel diritto svizzero gli accordi bilaterali con l’UE per l'associazione della Svizzera alla normativa di Schengen e Dublino,,,,,,129,60,3,36,3,2,Acceptance,4837844,95316,2739694,25255,10137,1477260,1227042,,,none,,,,,,Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes),86732,,,,EU | Police | Refugees,56.63,2704302,54.63,45.37,yes,
76,Country,Switzerland,518,05/06/2005,Registration of partnerships of same-sex couples (Partnership law),Bundesgesetz vom 18.06.2004 über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz  PartG),Loi fédérale sur le partenariat enregistré entre personnes du même sexe (loi sur le partenariat Lpart),Legge federale del 18.06.2004 sull'unione domestica registrata di coppie omosessuali (legge sull'unione domestica registrata LUD),,,,,,112,51,16,33,5,4,Acceptance,4837844,95316,2733838,36110,10360,1559848,1127520,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),66853,,,,Private law | Homosexuals | Fundamental rights,56.51,2687368,58.04,41.96,yes,
77,Country,Switzerland,514,28/11/2004,Reform of financial compensation and distribution of tasks between the federal authorities and the cantons,Bundesbeschluss vom 03.10.2003 zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA),Arrêté fédéral concernant la réforme de la péréquation financière et de la répartition des tâches entre la Confédération et les cantons (RPT),Decreto federale del 03.10.2003 concernente la nuova impostazione della perequazione finanziaria e della ripartizione dei compiti tra Confederazione e Cantoni (NPC),,,,,,126,54,11,38,2,,Acceptance,4821329,91923,1776714,52754,8064,1104565,611331,20.5,2.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Intergovernmental relations | Financial system | none,36.85,1715896,64.37,35.63,yes,
78,Country,Switzerland,516,28/11/2004,Law on research on embryonic stem cells,Bundesgesetz vom 19.12.2003 über die Forschung an embryonalen Stammzellen (Stammzellenforschungsgesetz  StFG),Loi fédérale relative à la recherche sur les cellules souches embryonnaires (Loi relative à la recherche sur les cellules souches LRCS),Legge federale del 19.12.2003 concernente la ricerca sugli embrioni soprannumerari e le cellule staminali embrionali (Legge sulla ricerca embrionale LRE),,,,,,103,57,25,35,1,,Acceptance,4821329,91923,1785215,35058,7921,1156706,585530,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),85470,,,,Research | Reproductive medicine | none,37.02,1742236,66.39,33.61,yes,
79,Country,Switzerland,515,28/11/2004,Reorganisation of federal finances,Bundesbeschluss vom 19.03.2004 über eine neue Finanzordnung,Arrêté fédéral sur un nouveau régime financier,Decreto federale del 19.03.2004 concernente un nuovo ordinamento finanziario,,,,,,191,0,0,43,0,,Acceptance,4821329,91923,1775770,61974,8239,1258895,446662,22,1,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Financial system | Tax system | none,36.83,1705557,73.81,26.19,yes,
80,Country,Switzerland,510,26/09/2004,Easing naturalisation for young second-generation foreigners,Bundesbeschluss vom 03.10.2003 über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation,Arrêté fédéral sur la naturalisation ordinaire et sur la naturalisation facilitée des jeunes étrangers de la deuxième génération,Decreto federale del 03.10.2003 sulla naturalizzazione ordinaria e la naturalizzazione agevolata dei giovani stranieri della seconda generazione,,,,,,140,41,3,40,0,,Acceptance,4814898,92048,2591426,20188,12256,1106529,1452453,5.5,17.5,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Citizenship | Immigration policy | none,53.82,2558982,43.24,56.76,no,
81,Country,Switzerland,511,26/09/2004,Citizenship rights for third-generation foreigners,Bundesbeschluss vom 03.10.2003 über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation,Arrêté fédéral sur l'acquisition de la nationalité par les étrangers de la troisième génération,Decreto federale del 03.10.2003 sull'acquisto della cittadinanza degli stranieri della terza generazione,,,,,,149,40,1,38,0,,Acceptance,4814898,92048,2591968,18214,12255,1238912,1322587,6.5,16.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Citizenship | Immigration policy | none,53.83,2561499,48.37,51.63,no,
82,Country,Switzerland,512,26/09/2004,"""Postal services for all""",Volksinitiative vom 26.04.2002 'Postdienste für alle',Initiative populaire «Services postaux pour tous»,Iniziativa popolare del 26.04.2002 'Servizi postali per tutti',,,,,,84,105,5,12,31,,Rejection,4814898,92048,2577679,58197,12597,1247771,1259114,9.5,13.5,none,,,0,,0,Initiative (Formulated Draft),106234,,Gewerkschaft KommunikationSyndicat de la CommunicationSindacato della Communicazione,,Post | none | none,53.53,2506885,49.77,50.23,no,
83,Country,Switzerland,513,26/09/2004,"Financial compensation for loss of earnings for those serving in the armed forces, civil protection units or doing alternative community service",Änderung vom 03.10.2003 des Bundesgesetzes über die Erwerbsersatzordnung für Dienstleistende in Armee  Zivildienst und Zivilschutz (Erwerbsersatzgesetz  EOG),Modification de la loi fédérale sur le régime des allocations pour perte de gain en faveur des personnes servant dans l'armée dans le service civil ou dans la protection civile (Loi sur les allocations pour perte de gain LAPG),Modifica del 03.10.2003 della legge federale sulle indennità di perdita di guadagno in caso di servizio militare servizio civile o servizio di protezione civile (Legge sulle indennità di perdita di guadagno LIPG),,,,,,146,41,3,31,6,,Acceptance,4814898,92048,2590724,22600,12385,1417159,1138580,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),71270,,,,Maternity insurance | Status of women | Compensation for loss of earnings for persons on military service or civil protection duty,53.8,2555739,55.45,44.55,yes,
84,Country,Switzerland,507,16/05/2004,"Law on old age-, widows- and orphans insurance (11th revision)",Aenderung vom 03.10.2003 des Bundesgesetzes über die Alters- und Hinterlassenenversicherung (AHVG) (11. AHV-Revision),Modification de la loi fédérale sur l'assurance-vieillesse et survivants (LAVS) (11e révision de l'AVS),Modifica del 03.10.2003 della legge federale sull'assicurazione per la vecchiaia e per i superstiti (LAVS) (11a revisione dell'AVS),,,,,,109,73,7,34,9,,Acceptance,4798073,89389,2438405,20747,10313,772773,1634572,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),152031,,,,Pension insurance | none | none,50.82,2407345,32.1,67.9,no,
85,Country,Switzerland,508,16/05/2004,"Financing old age-, widows-, orphans- and disability insurance by increasing VAT",Bundesbeschluss vom 03.10.2003 über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze,Arrêté fédéral sur le financement de l'AVS/AI par le biais d'un relèvement de la taxe sur la valeur ajoutée,Decreto federale del 03.10.2003 relativo al finanziamento dell'AVS/AI mediante l'aumento delle aliquote dell'imposta sul valore aggiunto,,,,,,130,43,16,35,2,,Acceptance,4798073,89389,2439301,21035,10369,756550,1651347,,23,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Pension insurance | Indirect taxation | none,50.83,2407897,31.42,68.58,no,
86,Country,Switzerland,509,16/05/2004,"Taxation for married couples and families, private housing and stamp duty",Bundesgesetz vom 20.06.2003 über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung  der Wohneigentumsbesteuerung und der Stempelabgaben,Loi fédérale sur la modification d'actes concernant l'imposition du couple et de la famille l'imposition du logement et les droits de timbre,Legge federale del 20.06.2003 che modifica atti legislativi nel settore dell'imposizione dei coniugi e delle famiglie dell'imposizione della proprietà abitativa e delle tasse di bollo,,,,,,97,69,0,30,13,2,Acceptance,4798073,89389,2439677,21902,10390,821475,1585910,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),57658,,,Volks- und zum ersten Male Kantonsreferendum  ,"Tax policy | Family policy | Building of residential housing, property ownership",50.84,2407385,34.12,65.88,no,
87,Country,Switzerland,504,08/02/2004,"Counter-proposal by parliament to withdrawn the people's initiative ""Avanti - for safe and efficient motorways""","Gegenentwurf der Bundesversammlung vom 03.10.2003 zur zurückgezogenen Volksinitiative ""Avanti - für sichere und leistungsfähige Autobahnen""",Contre-projet de l'Assemblée fédérale relatif à l'initiative populaire «Avanti - pour des autoroutes sûres et performantes» (qui a été retirée),"Controprogetto dell'Assemblea federale del 03.10.2003 relativo all'iniziativa popolare ""Avanti - per autostrade sicure ed efficienti""",,,,,,101,85,4,34,8,,Acceptance,4789871,88219,2183037,22991,7914,800632,1351500,,23,none,,,,,,Constitutional Referendum (Counter-draft),105024,,Touring Club der Schweiz TCS Touring Club Suisse TCS Touring Club Svizzera TCS,,Urban transport | Road construction | none,45.58,2152132,37.2,62.8,no,
88,Country,Switzerland,505,08/02/2004,Law on rents,Änderung vom 13.12.2002 des Obligationenrechts (Miete),Modification du code des obligations (Bail à loyer),Modifica del 13.12.2002 del Codice delle obbligazioni (Locazione),,,,,,98,71,7,36,5,,Acceptance,4789871,88219,2175425,64015,8391,755561,1347458,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),90224,,,BBl 2004 2199,Tenancy issues | Private law | none,45.42,2103019,35.93,64.07,no,
89,Country,Switzerland,506,08/02/2004,"""Lifelong detention for perpetrators of sexual or violent crimes who are judged to be highly dangerous and unable to be rehabilitated""","Volksinitiative vom 03.05.2000 ""Lebenslange Verwahrung für nicht therapierbare  extrem gefährliche Sexual- und Gewaltstraftäter""",Initiative populaire «Internement à vie pour les délinquants sexuels ou violents jugés très dangereux et non amendables»,"Iniziativa popolare del 03.05.2000 ""Internamento a vita per criminali sessuomani o violenti estremamente pericolosi e refrattari alla terapia""",,,,,,38,134,0,0,45,,Rejection,4789871,88219,2180863,39124,8303,1198867,934569,21.5,1.5,none,,,0,,0,Initiative (Formulated Draft),194390,,Selbsthilfegruppe Licht der HoffnungSelbsthilfegruppe Licht der HoffnungSelbsthilfegruppe Licht der Hoffnung,BBl 2004 2199; entered into force on 08 February 2004  see: AS 2004 2341,Criminal law | Public security | none,45.53,2133436,56.19,43.81,yes,
90,Country,Switzerland,495,18/05/2003,Law on army and military administration,Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz  MG)  Aenderung,Modification de la loi fédérale sur l'armée et l'administration militaire (Loi sur l'armée LAAM),"Legge federale sull'esercito e sull'amministrazione militare (Legge militare, LM), Modifica",,,,,,112,37,30,41,0,,Acceptance,4764888,84216,2361382,90232,11121,1718452,541577,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),64196,,,,Military organisation | none | none,49.56,2260029,76.04,23.96,yes,
91,Country,Switzerland,496,18/05/2003,Law on civil defence,Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz (Bevölkerungs- und Zivilschutzgesetz  BZG),Loi fédérale sur la protection de la population et sur la protection civile (LPPCi),Legge federale sulla protezione della popolazione e sulla protezione civile (LPPC),,,,,,156,1,26,44,0,,Acceptance,4764888,84216,2358877,77179,10861,1829339,441498,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),55072,,,,Civil protection | none | none,49.51,2270837,80.56,19.44,yes,
92,Country,Switzerland,497,18/05/2003,"""Yes to fair rents for tenants""",Volksinitiative 'Ja zu fairen Mieten',Initiative populaire «pour des loyers loyaux»,Iniziativa popolare 'Per delle pigioni corrette',,,,,,60,102,8,4,35,,Rejection,4764888,84216,2362517,61997,10731,749388,1540401,1,22,none,,,,,,Initiative (Formulated Draft),113901,,Schweizerischer Mieterinnen- und Mieterverband Association Suisse des Locataires,,Tenancy issues | none | none,49.58,2289789,32.73,67.27,no,
93,Country,Switzerland,498,18/05/2003,"""For one car-free Sunday per season - a four-year trial (Sunday initiative)""",Volksinitiative 'für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre (Sonntags-Initiative)',Initiative populaire «Pour un dimanche sans voitures par saison - un essai limité à quatre ans» (Initiative des dimanches),Iniziativa popolare 'per una domenica senz'auto ogni stagione - una prova per quattro anni (iniziativa per le domeniche)',,,,,,70,96,8,8,34,,Rejection,4764888,84216,2373187,20247,10193,881953,1460794,,23,none,,,,,,Initiative (Formulated Draft),111718,,Initiativkomitee Sonntags-Initiative Comitée d'initiative Sonntags-Initiative,,Road transport | none | none,49.81,2342747,37.65,62.35,no,
94,Country,Switzerland,499,18/05/2003,"""Healthcare must be affordable (Health initiative)""",Volksinitiative 'Gesundheit muss bezahlbar bleiben (Gesundheitsinitiative)',Initiative populaire «La santé à un prix abordable» (initiative-santé),Iniziativa popolare 'La salute a prezzi accessibili (iniziativa sulla salute)',,,,,,60,84,7,5,35,,Rejection,4764888,84216,2367157,48813,10577,625073,1682694,,23,none,,,,,,Initiative (Formulated Draft),108081,,Initiativekomitee: Sozialdemokratische Partei der Schweiz SPS comité d'initiative: Parti Socialiste suisse PSS,,Health and accident insurance | none | none,49.68,2307767,27.09,72.91,no,
95,Country,Switzerland,500,18/05/2003,"""Equal rights for the disabled""",Volksinitiative 'Gleiche Rechte für Behinderte',Initiative populaire «Droits égaux pour les personnes handicapées»,Iniziativa popolare 'Parità di diritti per i disabili',,,,,,70,107,2,6,37,,Rejection,4764888,84216,2367883,47178,10563,870249,1439893,3,20,none,,,,,,Initiative (Formulated Draft),120455,,Gleiche Rechte für Behinderte Droits égaux pour les personnes handicapées,,Persons with disabilities | Fundamental rights | none,49.69,2310142,37.67,62.33,no,
96,Country,Switzerland,501,18/05/2003,"""Non-nuclear energy - for a change in energy policy and the gradual decommissioning of nuclear power plants""",Volksinitiative 'Strom ohne Atom - Für eine Energiewende und schrittweise Stilllegung der Atomkraftwerke (Strom ohne Atom)',Initiative populaire «Sortir du nucléaire - Pour un tournant dans le domaine de l'énergie et pour la désaffectation progressive des centrales nucléaires» (Sortir du nucléaire),Iniziativa popolare 'Corrente senza nucleare - Per una svolta energetica e la disattivazione progressiva delle centrali nucleari (Corrente senza nucleare)',,,,,,63,108,6,5,36,,Rejection,4764888,84216,2369102,34412,10538,783586,1540566,0.5,22.5,none,,,,,,Initiative (Formulated Draft),117916,,Verein 'Strom ohne Atom' Association 'Strom ohne Atom' Associazione 'Strom ohne Atom',,Nuclear energy | Environmental policy | none,49.72,2324152,33.71,66.29,no,
97,Country,Switzerland,502,18/05/2003,"""Moratorium Plus - For an extension to the moratorium on nuclear power plant construction - limiting the nuclear risk""",Volksinitiative 'Moratorium Plus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos (MoratoriumPlus)',Initiative populaire «Moratoire-plus - Pour la prolongation du moratoire dans la construction de centrales nucléaires et la limitation du risque nucléaire» (Moratoire-plus),Iniziativa popolare 'Moratoria più - Per la proroga del blocco della costruzione di centrali nucleari e il contenimento del rischio nucleare (Moratoria più)',,,,,,67,109,2,6,35,,Rejection,4764888,84216,2363075,54914,10864,955624,1341673,1,22,none,,,,,,Initiative (Formulated Draft),119828,,Verein 'Strom ohne Atom' Association 'Strom ohne Atom' Associazione 'Strom ohne Atom',,Nuclear energy | Environmental policy | none,49.59,2297297,41.6,58.4,no,
98,Country,Switzerland,503,18/05/2003,"""For adequate vocational training (Apprenticeship initiative)""",Volksinitiative 'für ein ausreichendes Berufsbildungsangebot (Lehrstellen-Initiative)',Initiative populaire «Pour une offre appropriée en matière de formation professionnelle» (Initiative pour des places d'apprentissage),Iniziativa popolare federale 'per un'offerta appropriata di posti di tirocinio (Iniziativa sui posti di tirocinio)',,,,,,58,124,1,6,35,,Rejection,4764888,84216,2361583,63596,10731,722931,1564325,,23,none,,,,,,Initiative (Formulated Draft),113032,,Initiativkomitee Lehrstellen-Initiative Comité d'initiative pour des places d'apprentissage Comitato d'iniziativa sui posti di tirocinio,,Professional and vocational education | Children and young people | Employment policy,49.56,2287256,31.61,68.39,no,
99,Country,Switzerland,493,09/02/2003,Citizens' rights,Bundesbeschluss über die Aenderung der Volksrechte,Arrêté fédéral relatif à la révision des droits populaires,Decreto federale concernente la revisione dei diritti popolari,,,,,,102,67,16,32,7,,Acceptance,4758285,85112,1365517,31216,6658,934005,393638,23,,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Citizen's initiatives | none | none,28.7,1327643,70.35,29.65,yes,
100,Country,Switzerland,494,09/02/2003,Law on adjusting cantonal contributions to hospital costs,Bundesgesetz über die Anpassung der kantonalen Beiträge für die innerkantonalen stationären Behandlungen nach dem Bundesgesetz über die Krankenversicherung,Loi fédérale sur l'adaptation des participations cantonales aux coûts des traitements hospitaliers dispensés dans le canton selon la loi fédérale sur l'assurance-maladie,Legge federale sull'adeguamento dei contributi cantonali per le cure stazionarie all'interno dei Cantoni in base alla legge federale sull'assicurazione malattie,,,,,,189,0,0,40,0,,Acceptance,4758285,85112,1365354,28735,6818,1028673,301128,,,none,,,,,,Optional Legislative Referendum (Federal acts declared urgent),92921,,,,Health and accident insurance | none | none,28.69,1329801,77.36,22.64,yes,
101,Country,Switzerland,491,24/11/2002,"""Against abuses of asylum law""",Volksinitiative 'gegen Asylrechtsmissbrauch',Initiative populaire «Contre les abus dans le droit d'asile»,"Iniziativa popolare ""contro gli abusi in materia di asilo""",,,,,,44,137,4,3,36,,Rejection,4749962,82822,2276596,23764,9940,1119342,1123550,12.5,10.5,none,,,,,,Initiative (Formulated Draft),107438,,Schweizerische Volkspartei SVP Union Démocratique du Centre UDC Unione Democratica di Centro UDC,Résultat très serré!  Note concernant le canton des Grisons Suite aux intempéries survenues le 16 novembre 2002  les deux communes grisonnes de Pigniu et de Schlans se sont trouvées dans limpossibilité douvrir leurs locaux de vote aux heures prescrites afin de permettre à leurs électeurs dexercer leur droit de vote. Les résultats de ces deux communes sont donc incomplets. Ces deux communes comptaient au total 119 électeurs (état au 24 novembre 2002). Or  compte tenu des résultats globaux obtenus dans le canton des Grisons  lécart séparant le total des «oui» du total des «non» pour chacun des deux objets soumis au vote est tel que ni le résultat du canton ni le résultat total de la Confédération nauraient pu être influencés par la participation de tous les électeurs des deux communes.,Unemployment insurance | none | none,47.93,2242892,49.91,50.09,no,
