Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
45,Country,Switzerland,500,2003-05-18,"Citizen's initiative ""Equal rights for the disabled""",Volksinitiative 'Gleiche Rechte für Behinderte',Initiative populaire 'Droits égaux pour les personnes handicapées',,70,107,2,6,37,,Rejection,4764888,84216,2367883,47178,10563,870249,1439893,3,20,none,,,,,,Initiative (Formulated Draft),120455,,Gleiche Rechte für Behinderte Droits égaux pour les personnes handicapées,,Persons with disabilities | Fundamental rights | none,49.69,2310142,37.67,62.33,no,
46,Country,Switzerland,501,2003-05-18,"Citizen's initiative ""Non-nuclear energy  - for a change in energy policy and the  gradual decommissioning of nuclear  power plants""",Volksinitiative 'Strom ohne Atom - Für eine Energiewende und schrittweise Stilllegung der Atomkraftwerke (Strom ohne Atom)',Initiative populaire 'Sortir du nucléaire - Pour un tournant dans le domaine de l'énergie et pour la désaffectation progressive des centrales nucléaires (Sortir du nucléaire)',,63,108,6,5,36,,Rejection,4764888,84216,2369102,34412,10538,783586,1540566,0.5,22.5,none,,,,,,Initiative (Formulated Draft),117916,,Verein 'Strom ohne Atom' Association 'Strom ohne Atom' Associazione 'Strom ohne Atom',,Nuclear energy | Environmental policy | none,49.72,2324152,33.71,66.29,no,
47,Country,Switzerland,502,2003-05-18,"Citizen's initiative ""Moratorium Plus  - for an extension to the moratorium  on nuclear power plant construction  and a limitation to the nuclear risk""",Volksinitiative 'Moratorium Plus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos (MoratoriumPlus)',Initiative populaire 'Moratoire-plus - Pour la prolongation du moratoire dans la construction de centrales nucléaires et la limitation du risque nucléaire (Moratoire-plus)',,67,109,2,6,35,,Rejection,4764888,84216,2363075,54914,10864,955624,1341673,1,22,none,,,,,,Initiative (Formulated Draft),119828,,Verein 'Strom ohne Atom' Association 'Strom ohne Atom' Associazione 'Strom ohne Atom',,Nuclear energy | Environmental policy | none,49.59,2297297,41.6,58.4,no,
48,Country,Switzerland,503,2003-05-18,"Citizen's initiative ""For adequate  vocational training (apprenticeship  initiative)""",Volksinitiative 'für ein ausreichendes Berufsbildungsangebot (Lehrstellen-Initiative)',Initiative populaire  'Pour une offre appropriée en matière de formation professionnelle (Initiative pour des places d'apprentissage)',,58,124,1,6,35,,Rejection,4764888,84216,2361583,63596,10731,722931,1564325,,23,none,,,,,,Initiative (Formulated Draft),113032,,Initiativkomitee Lehrstellen-Initiative Comité d'initiative pour des places d'apprentissage Comitato d'iniziativa sui posti di tirocinio,,Professional and vocational education | Children and young people | Employment policy,49.56,2287256,31.61,68.39,no,
49,Country,Switzerland,491,2002-11-24,"Citizen's initiative ""Against the abuse of asylum law""",Volksinitiative 'gegen Asylrechtsmissbrauch',"Initiative populaire ""contre les abus dans le droit d'asile""",,44,137,4,3,36,,Rejection,4749962,82822,2276596,23764,9940,1119342,1123550,12.5,10.5,none,,,,,,Initiative (Formulated Draft),107438,,Schweizerische Volkspartei SVP Union Démocratique du Centre UDC Unione Democratica di Centro UDC,Résultat très serré!  Note concernant le canton des Grisons Suite aux intempéries survenues le 16 novembre 2002  les deux communes grisonnes de Pigniu et de Schlans se sont trouvées dans limpossibilité douvrir leurs locaux de vote aux heures prescrites afin de permettre à leurs électeurs dexercer leur droit de vote. Les résultats de ces deux communes sont donc incomplets. Ces deux communes comptaient au total 119 électeurs (état au 24 novembre 2002). Or  compte tenu des résultats globaux obtenus dans le canton des Grisons  lécart séparant le total des «oui» du total des «non» pour chacun des deux objets soumis au vote est tel que ni le résultat du canton ni le résultat total de la Confédération nauraient pu être influencés par la participation de tous les électeurs des deux communes.,Unemployment insurance | none | none,47.93,2242892,49.91,50.09,no,
50,Country,Switzerland,489,2002-09-22,"Citizen's initiative ""Surplus gold reserves for the old age-  widows- and orphans insurance fund (gold initiative)""",Volksinitiative 'Überschüssige Goldreserven in den AHV-Fonds (Goldinitiative)' und über den Gegenentwurf 'Gold für AHV  Kantone und Stiftung',"L'initiative populaire ""pour le versement au fonds AVS des réserves d'or excédentaires de la Banque nationale suisse (Initiative sur l'or)"" et le contre-projet ""L'or à l'AVS  aux cantons et à la Fondation""",,41,141,0,5,33,3,Rejection,4743888,81327,2143027,10997,9663,984058,1085072,6,17,linked,Counter-proposal (Gold for pension  funds  cantons and foundations),53237,953316,8,148742,Initiative (Formulated Draft),125372,,Schweizerische Volkspartei SVP Union Démocratique du Centre UDC Unione Democratica di Centro UDC,,Monetary policy | Pension insurance | Intergovernmental relations,45.17,2122367,47.56,52.44,no,
51,Country,Switzerland,488,2002-06-02,"Citizen's initiative ""For mother and child - protection of the unborn child and assistance for mothers in need""",Volksinitiative 'für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not',"Initiative populaire ""pour la mère et l'enfant""",,8,156,14,0,39,,Rejection,4731017,80668,1972596,32912,8382,352432,1578870,,23,none,,,,,,Initiative (Formulated Draft),105001,,Initiativkomitee Schweizerische Hilfe für Mutter und Kind comité d'initiative Aide suisse pour la mère et l'enfant comitato d'iniziativa Aiuto svizzero per madre e bambino,,Criminal law | Fundamental rights | Status of women,41.69,1931302,18.25,81.75,no,
52,Country,Switzerland,485,2002-03-03,"Citizen's initiative ""For Switzerland's  membership to the UN""",Eidgenössische Volksinitiative 'für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)',Initiative populaire fédérale 'pour l'adhésion de la Suisse à l'Organisation des Nations Unies (ONU)',,147,39,0,37,3,,Acceptance,4721320,77480,2758925,20386,11800,1489110,1237629,12,11,none,,,,,,Initiative (Formulated Draft),124772,,Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO) Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO) Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO),,UN | none | none,58.44,2726739,54.61,45.39,yes,
53,Country,Switzerland,486,2002-03-03,"Citizen's initiative ""For a shorter  working week""",Eidgenössische Volksinitiative 'für eine kürzere Arbeitszeit',Initiative populaire fédérale 'pour une durée du travail réduite',,54,125,13,5,37,,Rejection,4721320,77480,2750779,30981,11665,686935,2021198,,23,none,,,,,,Initiative (Formulated Draft),108296,,Schweizerischer Gewerkschaftsbund SGB Union syndicale suisse USS Unione sindacale svizzera USS,,Working hours | none | none,58.26,2708133,25.37,74.63,no,
54,Country,Switzerland,481,2001-12-02,"Citizen's initiative ""For a guaranteed old age-  widows- and orphans insurance  - impose a tax on energy  not work!""",Volksinitiative 'für eine gesicherte AHV - Energie statt Arbeit besteuern!',Initiative populaire 'pour garantir l'AVS - taxer l'énergie et non le travail!',,65,119,5,0,36,,Rejection,4712223,78553,1783507,37319,6440,397747,1342001,,23,none,,,,,,Initiative (Formulated Draft),113153,,Grüne Partei der Schweiz GPS Parti écologiste suisse,,Energy policy | Indirect taxation | Pension insurance,37.85,1739748,22.86,77.14,no,
55,Country,Switzerland,482,2001-12-02,"Citizen's initiative ""For a credible  security policy and a Switzerland  without an army""",Volksinitiative 'für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee',Initiative populaire 'pour une politique de sécurité crédible et une Suisse sans armée',,44,137,11,0,41,,Rejection,4712223,78553,1787298,23609,6364,384905,1372420,,23,none,,,,,,Initiative (Formulated Draft),110108,,Gruppe für eine Schweiz ohne Armee  GSoA Groupe pour une Suisse sans armée  GSsA Groupe pour une Suisse sans armée  GSsA,,Abolition of the armed forces | none | none,37.93,1757325,21.9,78.1,no,
56,Country,Switzerland,483,2001-12-02,"Citizen's initiative ""Solidarity creates  security: for a voluntary civilian peace service (CPS)""",Volksinitiative 'Solidarität schafft Sicherheit: Für einen freiwilligen Zivilen Friedensdienst (ZFD)',Initiative populaire 'La solidarité crée la sécurité: pour un service civil volontaire pour la paix (SCP)',,68,120,,5,36,,Rejection,4712223,78553,1783860,33323,6446,404870,1339221,,23,none,,,,,,Initiative (Formulated Draft),113299,,Gruppe für eine Schweiz ohne Armee GSoA Groupe pour une Suisse sans armée GSsA Groupe pour une Suisse sans armée GSsA,,"Conscientious objection, Civilian service | none | none",37.86,1744091,23.21,76.79,no,
57,Country,Switzerland,484,2001-12-02,"Citizen's initiative ""For a capital gains  tax""",Volksinitiative 'für eine Kapitalgewinnsteuer',Initiative populaire 'pour un impôt sur les gains en capital',,65,120,8,6,35,,Rejection,4712223,78553,1783571,33048,6414,594927,1149182,,23,none,,,,,,Initiative (Formulated Draft),107407,,Schweizerischer Gewerkschaftsbund SGB Union syndicale suisse USS Unione sindacale svizzera USS,,Direct taxation | none | none,37.85,1744109,34.11,65.89,no,
58,Country,Switzerland,474,2001-03-04,"Citizen's initiative ""Yes to Europe""",Eidgenössische Volksinitiative 'Ja zu Europa',Initiative populaire fédérale 'Oui à l'Europe!',,69,94,10,6,33,,Rejection,4688585,72754,2616119,24106,12247,597217,1982549,,23,none,,,,,,Initiative (Formulated Draft),106442,,Initiative 'Ja zu Europa!' Initiative 'Oui à l'Europe!',,EU | none | none,55.8,2579766,23.15,76.85,no,
59,Country,Switzerland,475,2001-03-04,"Citizen's initiative ""For lower-priced medicines""",Eidgenössische Volksinitiative 'für tiefere Arzneimittelpreise',Initiative populaire fédérale 'pour des médicaments à moindre prix',,0,76,38,0,36,,Rejection,4688585,72754,2612008,33816,12474,791589,1774129,,23,none,,,,,,Initiative (Formulated Draft),127085,,Initiativkomitee: Denner AG  Generalsekretariat Comité d'initiative  Denner AG,,Medicines | none | none,55.71,2565718,30.85,69.15,no,
60,Country,Switzerland,476,2001-03-04,"Citizen's initiative ""For greater traffic  safety based on a speed limit of 30 kph  in built-up areas  with exceptions (roads  for everyone)""",Eidgenössische Volksinitiative 'für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)',Initiative populaire fédérale 'pour plus de sécurité à l'intérieur des localités grâce à une vitesse maximale de 30 km/h assortie d'exceptions (Rues pour tous)',,68,118,Not known,7,34,Not known,Rejection,4688585,72754,2616139,15095,12121,525609,2063314,,23,none,,,,,,Initiative (Formulated Draft),112395,,Verkehrs-Club der Schweiz VCS Association transports et environnement ATE Associazione Traffico e Ambiente ATA,,Road transport | Environmental policy | none,55.8,2588923,20.3,79.7,no,
61,Country,Switzerland,469,2000-11-26,"Citizen's initiative ""For a more flexible  old age-  widows- and orphans insurance  - against raising the retirement age for  women""",Volksinitiative 'für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen',Initiative populaire 'pour un assouplissement de l'AVS - contre le relèvement de l'âge de la retraite des femmes',,67,110,3,5,39,,Rejection,4680971,72582,1950308,27527,6650,756337,1159794,6,17,none,,,,,,Initiative (Formulated Draft),143405,,Schweizerischer Kaufmännischer Verband Société suisse des employés de commerce,,Pension insurance | Status of women | none,41.66,1916131,39.47,60.53,no,
62,Country,Switzerland,470,2000-11-26,"Citizen's initiative ""For a flexible  retirement age for men and women from 62 upwards""",Volksinitiative 'für ein flexibles Rentenalter ab 62 für Frau und Mann',Initiative populaire 'pour une retraite à la carte dès 62 ans  tant pour les femmes que pour les hommes',,65,107,8,5,39,,Rejection,4680971,72582,1952766,21625,6384,885772,1038985,7,16,none,,,,,,Initiative (Formulated Draft),116636,,Grüne Partei der Schweiz GPS Parti écologiste suisse,,Pension insurance | Status of women | none,41.72,1924757,46.02,53.98,no,
63,Country,Switzerland,471,2000-11-26,"Citizen's initiative ""Saving on army and  defence spending - for more peace and  forward-looking jobs (redistribution  initiative)""",Volksinitiative 'Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze (Umverteilungsinitiative)',Initiative populaire 'Economiser dans l'armée et la défense générale - pour davantage de paix et d'emplois d'avenir (Initiative en faveur d'une redistribution des dépenses)',,62,122,1,6,36,,Rejection,4680971,72582,1952765,24339,6456,723047,1198923,4,19,none,,,,,,Initiative (Formulated Draft),108541,,Initiativkomitee Umverteilungsinitiative Initiativkomitee Umverteilungsinitiative,,Armed forces - general | none | none,41.72,1921970,37.62,62.38,no,
64,Country,Switzerland,472,2000-11-26,"Citizen's initiative ""For lower hospital  costs""",Volksinitiative 'für tiefere Spitalkosten',Initiative populaire 'pour des coûts hospitaliers moins élevés',,1,182,Not known,0,42,,Rejection,4680971,72582,1950182,26015,6631,343008,1574528,,23,none,,,,,,Initiative (Formulated Draft),106776,,Denner AG  Generalsekratariat Denner SA  Secrétariat général,,Health policy | Health and accident insurance | none,41.66,1917536,17.89,82.11,no,
65,Country,Switzerland,465,2000-09-24,"Citizen's initiative ""For 'solarrappen'  (solar initiative)""",Volksinitiative 'für einen Solarrappen (Solar-Initiative)' und Gegenentwurf (Verfassungsartikel über eine Förderabgabe für erneuerbare Energien),Initiative populaire 'pour l'introduction d'un centime solaire (Initiative solaire)' et contre-projet (Article constitutionnel sur une redevance pour l'encouragement des énergies renouvelables),,63,125,,10,30,,Rejection,4676509,72251,2090548,42981,10311,636848,1364751,,23,linked,Counter-proposal (article in the Constitution on a levy to promote  renewable energy),35657,570401,,386911,Initiative (Formulated Draft),114824,,Förderverein Energie-Umwelt- und Solar-Initiativen FEUSOL Förderverein Energie-Umwelt- und Solar-Initiativen FEUSOL,,Alternative energy | Indirect taxation | Environmental policy,44.7,2037256,31.82,68.18,no,
66,Country,Switzerland,467,2000-09-24,"Citizen's initiative ""For the regulation of immigration""",Volksinitiative 'für eine Regelung der Zuwanderung',"Initiative populaire ""pour une réglementation de l'immigration""",,14,146,6,0,41,,Rejection,4676509,72251,2117053,23232,8971,754626,1330224,,23,none,,,,,,Initiative (Formulated Draft),121313,,Komitee für eine begrenzte Zuwanderung Comité 'für eine begrenzte Zuwanderung',,Immigration policy | none | none,45.27,2084850,36.2,63.8,no,
67,Country,Switzerland,468,2000-09-24,"Citizen's initiative ""Increased citizens  rights through referendums with  counter-proposals (constructive  referendum)""",Volksinitiative 'Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag (Konstruktives Referendum)',"Initiative populaire ""pour davantage de droits au peuple grâce au référendum avec contre-proposition (Référendum constructif)""",,67,112,5,6,36,,Rejection,4676509,72251,2095513,101274,9433,676776,1308030,,23,none,,,,,,Initiative (Formulated Draft),123205,,Mehr Rechte für das Volk!' Volksinitiative Konstruktives Referendum Mehr Rechte für das Volk! Volksinitiative Konstruktives Referendum,,Referendum | none | none,44.81,1984806,34.1,65.9,no,
68,Country,Switzerland,460,2000-03-12,"Citizen's initiative ""For speeding up  direct democracy (processing times  for citizen's initiatives in the form of a specific draft)""",Eidgenössische Volksinitiative 'für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)',Initiative populaire fédérale 'pour une démocratie directe plus rapide (Délai de traitement des initiatives populaires présentées sous forme de projet rédigé de toutes pièces)',,29,161,3,0,42,,Rejection,4659113,69995,1961705,44268,7483,573038,1336916,,23,none,,,,,,Initiative (Formulated Draft),115684,,Initiativkomitee: Denner AG  Generalsekretariat Comité d'initiative  Denner AG,,Citizen's initiatives | Procedure for constitutional reform | none,42.1,1909954,30,70,no,
69,Country,Switzerland,461,2000-03-12,"Citizen's initiative ""For a fair  representation of women in the Federal  authorities (initiative of 3 March)""",Eidgenössische Volksinitiative 'für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)',Initiative populaire fédérale 'pour une représentation équitable des femmes dans les autorités fédérales (Initiative du 3 mars)',,48,112,17,4,36,,Rejection,4659113,69995,1965541,31355,7013,346314,1580859,,23,none,,,,,,Initiative (Formulated Draft),109713,,Komitee Frauen in den Bundesrat Comité 'des femmes au Conseil fédéral',,Status of women | Institutions | Electoral system,42.19,1927173,17.97,82.03,no,
70,Country,Switzerland,462,2000-03-12,"Citizen's initiative ""For the protection  of people against manipulations in  reproductive technology (initiative for  humane reproduction)""",Eidgenössische Volksinitiative 'zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung [FMF])',Initiative populaire fédérale 'pour la protection de l'être humain contre les techniques de reproduction artificielle (Initiative pour une procréation respectant la dignité humaine [PPD])',,18,132,27,0,42,,Rejection,4659113,69995,1966168,47594,7407,539795,1371372,,23,none,,,,,,Initiative (Formulated Draft),120920,,Ad-hoc-Komitee Comité ad-hoc,,Reproductive medicine | Research | none,42.2,1911167,28.24,71.76,no,
71,Country,Switzerland,463,2000-03-12,"Citizen's initiative ""To halve motorised  road traffic for the preservation and  improvement of living space (traffic-halving initiative)""",Eidgenössische Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)',Initiative populaire fédérale 'visant à réduire de moitié le trafic routier motorisé afin de maintenir et d'améliorer des espaces vitaux (initiative pour la réduction du trafic)',,30,110,32,0,38,,Rejection,4659113,69995,1974530,19419,6988,415605,1532518,,23,none,,,,,,Initiative (Formulated Draft),108841,,umverkehR  Initiativkomitee zur Halbierung des motorisierten Strassenverkehrs Comité d'initiative  rétrotrafic  comité d'initiative pour la réduction du trafic,,Transport policy | Environmental policy | none,42.38,1948123,21.33,78.67,no,
72,Country,Switzerland,451,1999-02-07,"Citizen's initiative ""Home-ownership for  all""",Eidgenössische Volksinitiative 'Wohneigentum für alle',Initiative populaire fédérale 'Propriété du logement pour tous',Iniziativa popolare 'abitazione in proprietà per tutti',66,109,10,10,29,,None,4641575,68548,1771969,19817,5410,721717,1025025,3,20,none,,,0,,0,Initiative (Formulated Draft),154850,,Schweizerischer Hauseigentümer-VerbandSchweizerischer Hauseigentümer-Verband,,"Building of residential housing, property ownership | Tax system | none",38.18,1746742,41.32,58.68,no,
73,Country,Switzerland,447,1998-11-29,"Citizen's initiative ""For a sensible drugs policy""",Eidgenössische Volksinitiative 'für eine vernünftige Drogenpolitik',Initiative populaire 'pour une politique raisonnable en matière de drogue',Iniziativa popolare 'per una politica ragionevole in materia di droga',42,112,17,0,20,,None,4638305,67594,1779697,30286,5890,453451,1290070,,23,none,,,0,,0,Initiative (Formulated Draft),107669,,Arbeitsgemeinschaft für DrogenlegalisierungArbeitsgemeinschaft für Drogenlegalisierung,,Addictive substances | none | none,38.37,1743521,26.01,73.99,no,
74,Country,Switzerland,443,1998-09-27,"Citizen's initiative ""For inexpensive  foodstuffs and ecological farming""",Volksinitiative 'für preisgünstige Nahrungsmittel und ökologische Bauernhöfe',Initiative populaire 'pour des produits alimentaires bon marché et des exploitations agricoles écologiques',Iniziativa popolare 'per prodotti alimentari a buon mercato e aziende rurali di coltura ecologica',50,102,19,0,37,,None,4637498,66843,2391658,54514,7680,535873,1793591,,23,none,,,0,,0,Initiative (Formulated Draft),111306,,Gnueg Heu Dune-InitiativeGnueg Heu Dune-Initiative,,Agricultural policy | Environmental policy | none,51.57,2329464,23,77,no,
75,Country,Switzerland,444,1998-09-27,"Citizen's initiative ""For the 10th revision of old age insurance without raising the retirement age""",Volksinitiative 'für die 10. AHV-Revision ohne Erhöhung des Rentenalters',Initiative populaire 'pour la 10e révision de l'AVS sans relèvement de l'âge de la retraite',Iniziativa popolare 'per la 10e revisione dell'AVS senza aumento dell'età di pensionamento',69,111,1,5,36,,None,4637498,66843,2394024,38203,7716,973966,1374139,5,18,none,,,0,,0,Initiative (Formulated Draft),105947,,Schweizerischer Gewerkschaftsbund SGBUnion syndicale suisse USS,,Pension insurance | Status of women | none,51.62,2348105,41.48,58.52,no,
76,Country,Switzerland,440,1998-06-07,"Citizen's initiative ""To protect life and  the environment from genetic manipulation  (gene protection initiative)""",Volksinitiative 'zum Schutz von Leben und Umwelt vor Genmanipulation (Gen-Schutz-Initiative)',Initiative populaire 'pour la protection de la vie et de l'environnement contre les manipulations génétiques (Initiative pour la protection génétique)',Iniziativa popolare 'per la protezione della vita e dell'ambiente dalla manipolazione genetica (Iniziativa protezione genetica)',44,107,20,0,40,,None,4629396,66462,1913034,29169,6599,624964,1252302,,23,none,,,0,,0,Initiative (Formulated Draft),111063,,Schweizerische Arbeitsgruppe Gentechnologie SAGSchweizerische Arbeitsgruppe Gentechnologie SAG,,Genetic engineering | Environmental policy | Medical research and technology,41.32,1877266,33.29,66.71,no,
77,Country,Switzerland,441,1998-06-07,"Citizen's initiative ""Switzerland without  police snooping""",Volksinitiative 'S.o.S. - Schweiz ohne Schnüffelpolizei',Initiative populaire 'S.o.S. - pour une Suisse sans police fouineuse',Iniziativa popolare 'S.o.S. - per una Svizzera senza polizia ficcanaso',60,124,1,4,32,,None,4629396,66462,1897624,56644,6836,451089,1383055,,23,none,,,0,,0,Initiative (Formulated Draft),105664,,S. o. S. - Schweiz ohne SchnüffelpolizeiS.o.S. - pour une Suisse sans police fouineuse,,State security | Fundamental rights | Police,40.99,1834144,24.59,75.41,no,
78,Country,Switzerland,438,1997-09-28,"Citizen's initiative ""Youth without drugs""",Volksinitiative 'Jugend ohne Drogen',Initiative populaire 'Jeunesse sans drogue',"Iniziativa popolare  ""Gioventù senza droghe""",43,100,28,,,,None,4618943,65738,1886054,20248,6033,545713,1314060,,23,none,,,0,,0,Initiative (Formulated Draft),140949,,Ad-hoc-KomiteeComité ad-hoc,,Addictive substances | Children and young people | none,40.83,1859773,29.34,70.66,no,
79,Country,Switzerland,434,1997-06-08,"Citizen's initiative ""Negotiations on  joining the EU: let the people decide!""",Eidgenössische Volksinitiative 'EU-Beitrittsverhandlungen vors Volk!',Initiative populaire fédérale 'Négociations d'adhésion à l'UE: que le peuple décide!',,10,174,3,0,37,,None,4614860,65416,1635564,24417,4987,416720,1189440,,23,none,,,,,,Initiative (Formulated Draft),101337,,Schweizer Demokraten und Lega dei TicinesiDémocrates suisses et Lega dei Ticinesi,,EU | Referendum | none,35.44,1606160,25.95,74.05,no,
80,Country,Switzerland,435,1997-06-08,"Citizen's initiative ""For a prohibition on the export of materials of war""",Eidgenössische Volksinitiative 'für ein Verbot der Kriegsmaterialausfuhr',Initiative populaire fédérale 'pour l'interdiction d'exporter du matériel de guerre',Iniziativa popolare 'per un divieto di esportazione di materiale bellico',60,111,6,3,32,,None,4614860,65416,1636833,26845,4955,361164,1243869,,23,none,,,0,,0,Initiative (Formulated Draft),108762,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Foreign trade policy | Arms | none,35.47,1605033,22.5,77.5,no,
81,Country,Switzerland,432,1996-12-01,"Citizen's initiative ""Against illegal immigration""",Bundesbeschluss über die Volksinitiative 'gegen die illegale Einwanderung',Arrêté fédéral concernant l'initiative populaire 'contre l'immigration clandestine',Decreto federale concernente l'iniziativa popolare 'contro l'immigrazione clandestina',36,139,1,3,35,,None,4612166,65827,2156106,28657,6281,982867,1138301,11,12,none,,,0,,0,Initiative (Formulated Draft),105596,,Schweizerische Volkspartei SVPUnion Démocratique du Centre UDC,,Refugees | none | none,46.75,2121168,46.34,53.66,no,
82,Country,Switzerland,423,1995-06-25,"Citizen's initiative ""To expand the  state old age-  widows-  orphans- and  disability insurance""",Eidgenössische Volksinitiative 'zum Ausbau von AHV und IV',"Initiative populaire  ""pour l'extension de l'AVS et de l'AI""",Iniziativa popolare 'per il potenziamento dell'AVS e dell'AI',51,123,4,3,36,,None,4591795,59868,1852720,39614,6538,499266,1307302,,23,none,,,0,,0,Initiative (Formulated Draft),118264,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,Pension insurance | Disability insurance | none,40.34,1806568,27.64,72.36,no,
83,Country,Switzerland,416,1994-12-04,"Citizen's initiative ""For sound health  insurance""",Eidgenössische Volksinitiative 'für eine gesunde Krankenversicherung',Initiative populaire  ''pour une saine assurance-maladie'',Iniziativa popolare 'per una sana assicurazione malattie',42,104,0,2,41,,None,4602535,54042,2014250,43849,5550,460674,1504177,,23,none,,,0,,0,Initiative (Formulated Draft),103575,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Health and accident insurance | none | none,43.75,1964851,23.45,76.55,no,
84,Country,Switzerland,408,1994-02-20,Citizen's initiative to protect the alpine regions from transit traffic,Eidgenössische Volksinitiative 'zum Schutze des Alpengebietes vor dem Transitverkehr',Initiative populaire ''pour la protection des régions alpines contre le trafic de transit'' ,Iniziativa popolare 'per la protezione della regione alpina dal traffico di transito',60,90,,2,23,,None,4563421,47695,1865111,23436,2822,954491,884362,16,7,none,,,0,,0,Initiative (Formulated Draft),107570,,,,Transit traffic | Environmental policy | Air quality control,40.86,1838853,51.91,48.09,yes,
85,Country,Switzerland,403,1993-11-28,Citizen's initiative to reduce the  problems caused by alcohol,Eidgenössische Volksinitiative 'zur Verminderung der Alkoholprobleme',Initiative populaire  ''pour la prévention des problèmes liés à l'alcool'' ,Iniziativa popolare 'per la diminuizione dei problemi dovuti all'alcool',48,86,,3,32,,None,4565751,45958,2076808,30516,3073,516054,1527165,,23,none,,,0,,0,Initiative (Formulated Draft),110648,,Schweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTASchweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTA,,Addictive substances | Children and young people | none,45.49,2043219,25.26,74.74,no,
86,Country,Switzerland,404,1993-11-28,Citizen's initiative to reduce the  problems caused by tobacco,Eidgenössische Volksinitiative 'zur Verminderung der Tabakprobleme',Initiative populaire  ''pour la prévention des problèmes liés au tabac'' ,Iniziativa popolare 'per la diminuzione dei problemi dovuti al consumo di tabacco',49,90,,3,30,,None,4565751,45958,2077305,30999,2988,521433,1521885,,23,none,,,0,,0,Initiative (Formulated Draft),115210,,Schweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTASchweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTA,,Addictive substances | Children and young people | none,45.5,2043318,25.52,74.48,no,
87,Country,Switzerland,396,1993-09-26,Citizen's initiative for a work-free federal holiday on 1 August (1 August  initiative),Eidgenössische Volksinitiative 'für einen arbeitsfreien Bundesfeiertag (1. August-Initiative)',Initiative populaire  fédérale ''pour un jour de la fête nationale férié (Initiative '1er août')'' ,Iniziativa popolare 'per un giorno della festa nazionale festivo'  (Iniziativa '1° agosto'),110,8,,31,6,,None,4553754,44194,1816428,32226,2795,1492285,289122,23,,none,,,0,,0,Initiative (Formulated Draft),102660,,Nationale Aktion für Volk und HeimatDémocrates suisses,,National identity | Working hours | none,39.88,1781407,83.77,16.23,yes,
88,Country,Switzerland,392,1993-06-06,"Citizen's initiative ""40 army training  camps are enough - protection of the  environment within the military as well""",Eidgenössische Volksinitiative '40 Waffenplätze sind genug - Umweltschutz auch beim Militär' ,Initiative populaire  ''40 places d'armes ça suffit!- L'armée doit aussi se soumettre à la législation sur la protection de l'environnement'',Iniziativa  popolare '40 piazze d'armi sono sufficienti - Protezione dell'ambiente anche per i militari',47,101,,3,33,,None,4559258,42772,2534004,14715,3584,1124893,1390812,7,16,none,,,0,,0,Initiative (Formulated Draft),117989,,Aktionsgruppe zur Rettung von Neuchlen-Anschwilen ARNAAktionsgruppe zur Rettung von Neuchlen-Anschwilen ARNA,,Military facilities | Protection of nature and cultural heritage | none,55.58,2515705,44.71,55.29,no,
